Year,JerseyNum,Name,Position,Height,Weight,Major,Class,HomeTownHighSchool
2024,10,Aubrey Tanner,S/OPP,6-2,,Psychology,So.,"Sierra Madre, Calif. / Walnut HS"
2024,12,Kayla Uhlick,L,5-6,,Business Economics,So.,"Riverside, Calif. / Poly HS"
2024,14,Nevada Knowles,S,6-0,,International Business,Jr.,"Ventura, Calif. / Ventura HS"
2024,15,Jasmine Saran,MB,6-3,,General Biology,So.,"Temecula, Calif. / Great Oak HS"
2024,17,Emily McDaniel,MB,6-4,,Public Health Medicine,Jr.,"Anaheim, Calif. / Canyon HS"
2024,20,Iris Canko,L,5-5,,Political Science,Fr.,"Temecula, Calif. / Great Oak HS"
2024,21,Reagan McWhinney,OH,6-0,,Real Estate and Development,Fr.,"Loveland, Colo. / Resurrection Christian School"
2024,23,Natalie Repetti,L,5-10,,Cognitive Science,Sr.,"Cypress, Calif. / Cypress HS"
2024,24,Lauren Brooker,S/OPP,6-1,,Undeclared,Fr.,"Calabasas, Calif. / Marymount HS"
2024,33,Zaria Henderson,OH,5-10,,Psychology,Jr.,"Fullerton, Calif. / Mater Dei HS"
